Protein IDs,Majority protein IDs,Protein names,Gene names,Intensity EV_AA1,Intensity EV_AA2,Intensity EV_AA3,Intensity EV_B1,Intensity EV_B2,Intensity EV_B3,Intensity WT_AA1,Intensity WT_AA2,Intensity WT_AA3,Intensity WT_B1,Intensity WT_B2,Intensity WT_B3,iBAQ,iBAQ EV_AA1,iBAQ EV_AA2,iBAQ EV_AA3,iBAQ EV_B1,iBAQ EV_B2,iBAQ EV_B3,iBAQ WT_AA1,iBAQ WT_AA2,iBAQ WT_AA3,iBAQ WT_B1,iBAQ WT_B2,iBAQ WT_B3,LFQ intensity EV_AA1,LFQ intensity EV_AA2,LFQ intensity EV_AA3,LFQ intensity EV_B1,LFQ intensity EV_B2,LFQ intensity EV_B3,LFQ intensity WT_AA1,LFQ intensity WT_AA2,LFQ intensity WT_AA3,LFQ intensity WT_B1,LFQ intensity WT_B2,LFQ intensity WT_B3
A2BED6;A2BED7;Q96KQ7-2;B0UZY3;Q96KQ7;B0UZY0;A2ABF8;B0UZY1;A2ABF9,A2BED6;A2BED7;Q96KQ7-2;B0UZY3;Q96KQ7;B0UZY0;A2ABF8;B0UZY1;A2ABF9,Histone-lysine N-methyltransferase EHMT2,EHMT2,38526000,26983000,65795000,49095000,39509000,40820000,46903000,45142000,45358000,35958000,44790000,31390000,13428000,1013900,710080,1731400,1292000,1039700,1074200,1234300,1187900,1193600,946270,1178700,826060,0,0,0,0,0,41436000,0,0,0,0,0,0
P10321;A2AEA2;F5GXA6;B0S7Z4;B0V0C2;Q29963;Q29865;P30510;P30508;P30505;P30499;P04222;B0V0B9;B0UY12;B0V0C1;B0UY14;B0S7Z5;B0UY15;B0S7Z6;F8W9Z8;Q29960-2;Q04826;P30479;P30460;Q31612;Q9TNN7;Q29960;Q07000;P30504;P30501;A2BF24;Q95604;A2BF25;A2BF26,P10321;A2AEA2;F5GXA6;B0S7Z4;B0V0C2;Q29963;Q29865;P30510;P30508;P30505;P30499;P04222;B0V0B9;B0UY12;B0V0C1;B0UY14;B0S7Z5;B0UY15;B0S7Z6,"HLA class I histocompatibility antigen, Cw-7 alpha chain;HLA class I histocompatibility antigen, Cw-6 alpha chain;HLA class I histocompatibility antigen, Cw-18 alpha chain;HLA class I histocompatibility antigen, Cw-14 alpha chain;HLA class I histocompatibility antigen, Cw-12 alpha chain;HLA class I histocompatibility antigen, Cw-8 alpha chain;HLA class I histocompatibility antigen, Cw-1 alpha chain;HLA class I histocompatibility antigen, Cw-3 alpha chain",HLA-C,0,0,0,0,0,0,88869000,20925000,12594000,76517000,38321000,19402000,15096000,0,0,0,0,0,0,5227600,1230900,740840,4501000,2254200,1141300,0,0,0,0,0,0,45962000,0,0,0,0,0
A2AJT9-3;A2AJT9-2;A2AJT9;H7BXX2;F2Z385,A2AJT9-3;A2AJT9-2;A2AJT9;H7BXX2;F2Z385,Uncharacterized protein CXorf23,CXorf23,10226000,0,8466100,13229000,12486000,15072000,13041000,7996900,19743000,21988000,24619000,0,4589600,319570,0,264570,413390,390180,471010,407540,249900,616950,687120,769340,0,0,0,0,0,0,0,0,4737800,0,0,0,0
H0Y5G7;A2RRP1-2;A2RRP1;H7C007,H0Y5G7;A2RRP1-2;A2RRP1;H7C007,Neuroblastoma-amplified sequence,NBAS,9609800,8517200,9836800,6531300,6869600,8632200,58597000,27509000,25509000,52380000,40171000,44070000,4518700,145600,129050,149040,98960,104090,130790,887840,416810,386510,793630,608660,667730,0,0,0,0,0,0,32626000,0,16843000,33158000,0,27533000
A5PLL1,A5PLL1,Ankyrin repeat domain-containing protein 34B,ANKRD34B,449920000,447160000,291410000,26438000,12895000,292430000,397760000,417200000,247310000,496950000,245230000,194110000,121340000,15515000,15419000,10049000,911640,444660,10084000,13716000,14386000,8527800,17136000,8456100,6693400,0,0,0,0,0,0,206520000,246370000,0,0,0,0
B5MDN3;A5YKK6-3;A5YKK6-2;A5YKK6;H3BMZ2,B5MDN3;A5YKK6-3;A5YKK6-2;A5YKK6;H3BMZ2,CCR4-NOT transcription complex subunit 1,CNOT1,12483000,0,21712000,8527200,7054300,12156000,22945000,0,3109200,22718000,18083000,0,1922200,186320,0,324050,127270,105290,181430,342470,0,46406,339070,269900,0,0,0,17069000,0,0,0,0,0,0,0,0,0
A6H8Z3;Q15042;C9J837,A6H8Z3;Q15042;C9J837,Rab3 GTPase-activating protein catalytic subunit,RAB3GAP1,10143000,87969000,83478000,97790000,90535000,90576000,16228000,140400000,168470000,27542000,107810000,135450000,22965000,220500,1912400,1814700,2125900,1968100,1969000,352780,3052200,3662500,598730,2343700,2944500,0,84707000,65898000,81922000,83163000,105570000,0,90668000,90133000,0,78699000,105420000
A6NDF3;Q9BVG4,A6NDF3;Q9BVG4,Protein PBDC1,PBDC1,163820000,33707000,34351000,44712000,0,33721000,28222000,88771000,46784000,48611000,28687000,0,68923000,20477000,4213400,4293900,5588900,0,4215200,3527700,11096000,5848000,6076400,3585800,0,0,0,0,0,0,0,0,0,0,0,18805000,0
E9PLB8;E9PL33;E9PM05;E9PS58;A6NES3;O14681;E9PQN7;E9PK61,E9PLB8;E9PL33;E9PM05;E9PS58;A6NES3;O14681,Etoposide-induced protein 2.4 homolog,EI24,0,0,0,0,2526200,0,73149000,75263000,43343000,48885000,36118000,28329000,76903000,0,0,0,0,631540,0,18287000,18816000,10836000,12221000,9029600,7082300,0,0,0,0,0,0,46821000,28486000,0,29535000,26644000,25154000
A6NF48;Q9Y2X9,A6NF48;Q9Y2X9,Zinc finger protein 281,ZNF281,387510000,332360000,251310000,255670000,103480000,165410000,522580000,294600000,214320000,328260000,194870000,202000000,101640000,12110000,10386000,7853300,7989800,3233900,5169000,16331000,9206300,6697600,10258000,6089600,6312600,319810000,256820000,190040000,224050000,137010000,170630000,259790000,179400000,125450000,193810000,133840000,207400000
Q13813-3;Q13813;Q13813-2;A6NG51,Q13813-3;Q13813;Q13813-2;A6NG51,"Spectrin alpha chain, non-erythrocytic 1",SPTAN1,0,0,0,15302000,0,0,0,0,0,0,0,8106100,166020,0,0,0,108530,0,0,0,0,0,0,0,57490,0,0,0,0,0,0,0,0,0,0,0,6038600
F6VZ39;A6NG75;Q9H0Z9,F6VZ39;A6NG75;Q9H0Z9,RNA-binding protein 38,RBM38,0,19038000,17658000,9841300,0,0,42956000,0,0,61081000,35773000,16517000,28981000,0,2719700,2522600,1405900,0,0,6136600,0,0,8725800,5110400,2359500,0,0,0,0,0,0,0,0,0,0,0,12304000
A6NG79;Q92733;H0YE12;H0Y679,A6NG79;Q92733,Proline-rich protein PRCC,PRCC,269190000,588770000,694930000,564700000,475800000,641470000,417000000,481730000,472390000,690780000,552010000,2616200000,497940000,15835000,34634000,40878000,33218000,27988000,37734000,24529000,28337000,27788000,40634000,32471000,153890000,351540000,501200000,556070000,794370000,615630000,635840000,330670000,411940000,404710000,474860000,581170000,870320000
E9PIZ0;C9JST7;A6NGW1;O95070;F8W9A1,E9PIZ0;C9JST7;A6NGW1;O95070;F8W9A1,Protein YIF1A,YIF1A,21538000,32180000,0,30069000,24799000,28262000,253700000,104850000,73944000,136610000,100240000,83920000,148350000,3589700,5363300,0,5011500,4133200,4710300,42283000,17475000,12324000,22768000,16707000,13987000,0,0,0,30676000,0,0,157810000,48796000,41883000,97184000,50599000,51824000
A6NGY7;Q9H694-2;Q9H694,A6NGY7;Q9H694-2;Q9H694,Protein bicaudal C homolog 1,BICC1,54525000,24373000,27939000,31035000,22935000,34068000,30806000,0,12627000,15463000,20808000,0,12481000,2478400,1107900,1269900,1410700,1042500,1548500,1400300,0,573940,702840,945830,0,47373000,0,0,31241000,0,0,0,0,0,0,0,0
A6NHQ2;R4GMW7,A6NHQ2;R4GMW7,rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1,FBLL1,66667000,70496000,70216000,61987000,43106000,47265000,87349000,145500000,78212000,103910000,89741000,93867000,50438000,3508800,3710300,3695600,3262500,2268700,2487600,4597300,7658200,4116400,5468800,4723200,4940400,0,0,0,0,0,0,0,0,0,0,0,69926000
P46020-3;A6NIT2;P46020-2;P46020;P46019;A6NMN0,P46020-3;A6NIT2;P46020-2;P46020;P46019;A6NMN0,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform;Phosphorylase b kinase regulatory subunit alpha, liver isoform",PHKA1;PHKA2,0,0,0,0,0,57293000,0,0,0,0,33109000,0,1738500,0,0,0,0,0,1101800,0,0,0,0,636720,0,0,0,0,0,0,0,0,0,0,0,21704000,0
Q5JS34;A6NJ97;Q86XN7,Q5JS34;A6NJ97;Q86XN7,Proline and serine-rich protein 1,PROSER1;C13orf23,49293000,68364000,59783000,58986000,47790000,54690000,26649000,73630000,75734000,57767000,59856000,40430000,74775000,5477000,7596000,6642600,6554000,5310000,6076600,2961000,8181100,8414900,6418500,6650600,4492200,0,54697000,48545000,0,0,51810000,0,46492000,46392000,0,0,0
H7C1C6;A6NLM8;P51571,H7C1C6;A6NLM8;P51571,Translocon-associated protein subunit delta,SSR4,3978200,7769700,42754000,15961000,10540000,27932000,145180000,83778000,68729000,98917000,74917000,58409000,91267000,568320,1110000,6107700,2280200,1505800,3990300,20740000,11968000,9818400,14131000,10702000,8344200,0,0,28346000,18055000,21652000,25392000,94240000,39909000,34766000,71637000,38796000,35628000
B7Z2L0;A6NME1;H0Y7N8;C9JTE9;Q9UHQ4;H7C5E2;Q9UHQ4-2;F8WB99;C9IYK6,B7Z2L0;A6NME1;H0Y7N8;C9JTE9;Q9UHQ4;H7C5E2;Q9UHQ4-2;F8WB99;C9IYK6,B-cell receptor-associated protein 29,BCAP29,0,0,0,0,0,0,18438000,14623000,25688000,0,0,5769800,6451900,0,0,0,0,0,0,1843800,1462300,2568800,0,0,576980,0,0,0,0,0,0,0,0,15592000,0,0,0
P09884;A6NMQ1,P09884;A6NMQ1,DNA polymerase alpha catalytic subunit;DNA polymerase,POLA1,7326800,7486700,8755700,12337000,10379000,10307000,6364900,0,14841000,12914000,0,10424000,1404700,101760,103980,121610,171350,144150,143150,88402,0,206120,179360,0,144780,0,0,0,0,0,0,0,0,0,0,0,7765500
H0YKL9;H0YKZ7;H0YLV6;H0YMT9;H0YKX9;H0YMM1;H0YKS4;H0YMD0;H0YMU9;H0YN42;P07355;A6NMY6;H0YNB8;H0YMD9;H0YKN4;H0YKV8;H0YMW4;H0YNP5;H0YM50;P07355-2,H0YKL9;H0YKZ7;H0YLV6;H0YMT9;H0YKX9;H0YMM1;H0YKS4;H0YMD0;H0YMU9;H0YN42;P07355;A6NMY6;H0YNB8;H0YMD9;H0YKN4;H0YKV8;H0YMW4;H0YNP5;H0YM50;P07355-2,Annexin;Annexin A2;Putative annexin A2-like protein,ANXA2;ANXA2P2,2342500000,2682000000,2631300000,2578700000,2266100000,2617400000,2840000000,2227500000,2260900000,2711800000,3374900000,2607900000,3892600000,292820000,335250000,328910000,322340000,283260000,327170000,355000000,278440000,282620000,338980000,421870000,325990000,1894800000,1839500000,2752700000,2174100000,2455900000,0,1617100000,0,1610300000,1871700000,1785600000,2061600000
A6NP52;O60831,A6NP52;O60831,PRA1 family protein 2,PRAF2,0,14181000,0,0,0,0,40585000,0,0,0,0,0,9127800,0,2363600,0,0,0,0,6764200,0,0,0,0,0,0,0,0,0,0,0,20990000,0,0,0,0,0
Q99755-2;Q99755-4;Q99755-3;A6PW57;Q99755;A2A5X0;B4DY52;A6PW58,Q99755-2;Q99755-4;Q99755-3;A6PW57;Q99755,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha,PIP5K1A,74967000,67562000,34586000,44858000,16096000,31400000,143840000,107090000,66491000,62309000,55222000,40530000,35474000,3569900,3217300,1647000,2136100,766490,1495200,6849700,5099500,3166200,2967100,2629600,1930000,46345000,58439000,0,40641000,43106000,39503000,40289000,49986000,45226000,45747000,42042000,46242000
A6QRJ1;Q15904,A6QRJ1;Q15904,V-type proton ATPase subunit S1,ATP6AP1,0,3960200,2084900,7943200,2676000,2678500,23217000,17352000,6351700,24490000,24963000,8983700,13856000,0,440030,231650,882580,297340,297610,2579700,1928000,705740,2721100,2773700,998190,0,0,0,0,0,0,0,0,0,0,0,6692400
A6ZKI3,A6ZKI3,Protein FAM127A,FAM127A,14416000,48895000,10396000,17226000,5313000,8541200,36053000,38861000,14446000,22552000,33026000,23736000,34183000,1802000,6111900,1299500,2153300,664130,1067600,4506600,4857600,1805700,2818900,4128200,2967100,0,0,0,0,0,0,0,0,0,0,0,17682000
A8CG34;Q96HA1;A8CG34-2;Q96HA1-2;Q96HA1-3;C9JFL1;A6NF01;Q6PJE2-5;C9JER0;Q6PJE2;C9J370,A8CG34;Q96HA1;A8CG34-2;Q96HA1-2;Q96HA1-3,Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121,POM121C;POM121,125830000,60321000,103930000,48449000,50336000,77445000,248200000,107890000,186610000,144280000,129190000,83555000,40178000,3700900,1774200,3056700,1425000,1480500,2277800,7300100,3173300,5488600,4243500,3799800,2457500,76489000,75581000,84508000,0,72995000,70697000,108080000,84815000,74353000,76336000,78979000,112610000
A8K1C9;Q96LT9;E9PPV2;H0YEB8,A8K1C9;Q96LT9,RNA-binding protein 40,RNPC3,25370000,21731000,34090000,9889000,31022000,59383000,48320000,67417000,42638000,112700000,95558000,61506000,25401000,1057100,905470,1420400,412040,1292600,2474300,2013400,2809000,1776600,4695900,3981600,2562700,31336000,0,0,0,0,38775000,41777000,40494000,42944000,72215000,44360000,37653000
C9JJV0;C9JDH9;C9J6L2;C9JCC0;C9J232;H7C279;B7Z9K1;Q9P289-2;A8K6Z3;Q9P289-3;H0Y630;Q8NBY1;B4DR80;Q9P289;O00506;Q9Y6E0-2;B4E0Y9;Q9Y6E0,C9JJV0;C9JDH9;C9J6L2;C9JCC0;C9J232;H7C279;B7Z9K1;Q9P289-2;A8K6Z3;Q9P289-3;H0Y630;Q8NBY1;B4DR80;Q9P289;O00506;Q9Y6E0-2;B4E0Y9;Q9Y6E0,Serine/threonine-protein kinase MST4;Serine/threonine-protein kinase 25;Serine/threonine-protein kinase 24;Serine/threonine-protein kinase 24 36 kDa subunit;Serine/threonine-protein kinase 24 12 kDa subunit,STK25;MST4;STK24,0,0,0,0,0,0,0,0,0,0,37165000,25951000,12623000,0,0,0,0,0,0,0,0,0,0,7433100,5190100,0,0,0,0,0,0,0,0,0,0,0,19332000
A8K7Q2,A8K7Q2,,HSPA8,527500000,561230000,705710000,761850000,386270000,667190000,299130000,550780000,1864100000,484120000,375190000,518200000,405330000,27763000,29539000,37142000,40098000,20330000,35115000,15744000,28988000,98113000,25480000,19747000,27274000,0,0,0,0,0,0,0,0,0,0,0,386030000
H0Y2S2;Q9NXB0-2;A8MPP8;Q9NXB0-3;Q9NXB0,H0Y2S2;Q9NXB0-2;A8MPP8;Q9NXB0-3;Q9NXB0,Meckel syndrome type 1 protein,MKS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P55196-3;C9JX92;P55196-1;P55196;A8MQ02;J3KN01;P55196-2;P55196-6;Q5TIG5;P55196-5;F8W9I4;E9PFY5,P55196-3;C9JX92;P55196-1;P55196;A8MQ02;J3KN01;P55196-2;P55196-6;Q5TIG5;P55196-5,Afadin,MLLT4,39461000,44697000,48638000,33329000,31829000,22762000,40717000,63682000,61775000,67100000,49713000,71223000,6459800,443390,502210,546490,374480,357630,255760,457490,715530,694100,753930,558580,800260,33398000,38919000,38739000,34464000,36467000,0,0,38112000,37998000,37715000,35064000,48748000
A8MTQ3;G5E9B5;P0C1Z6,A8MTQ3;G5E9B5;P0C1Z6,TCF3 fusion partner,TFPT,0,0,23040000,15985000,10616000,13255000,19261000,0,0,19384000,22443000,0,20664000,0,0,3839900,2664200,1769300,2209100,3210200,0,0,3230700,3740500,0,0,0,18113000,0,0,0,0,0,0,0,0,0
P61956-2;Q6EEV6;P61956;H7BZT4;P55854;A8MUA9;B4DUW4;A8MU27,P61956-2;Q6EEV6;P61956;H7BZT4;P55854;A8MUA9;B4DUW4;A8MU27,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 4;Small ubiquitin-related modifier 3,SUMO2;SUMO4;SUMO3,80652000,77231000,95093000,62746000,55418000,70767000,0,0,70825000,93276000,91635000,71579000,256410000,26884000,25744000,31698000,20915000,18473000,23589000,0,0,23608000,31092000,30545000,23860000,0,0,0,0,0,0,0,0,0,0,0,53322000
A8MU58;F8W950;Q13155,A8MU58;F8W950;Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2,19995000,14736000,0,10066000,0,21241000,42361000,0,0,0,0,41450000,13623000,1817800,1339600,0,915100,0,1931000,3851000,0,0,0,0,3768200,0,0,0,0,0,0,0,0,0,0,0,30878000
P62308;A8MWD9;C9JVQ0;Q49AN9;F5H013,P62308;A8MWD9;C9JVQ0;Q49AN9;F5H013,Small nuclear ribonucleoprotein G;Small nuclear ribonucleoprotein G-like protein,SNRPG,47985000,86355000,70209000,66352000,61983000,55250000,86601000,0,0,126230000,111810000,51774000,254850000,15995000,28785000,23403000,22117000,20661000,18417000,28867000,0,0,42078000,37272000,17258000,0,71596000,70425000,51281000,36990000,59901000,0,0,0,106720000,70361000,0
A8MXP9;P43243;D6REM6;D6R991;B3KM87;P43243-2;H0Y8T4;D6RBK5;D6R8Z5;D6RAM9;D6RAY2;D6RCM3;D6REK4;D6RBI2;D6RE02;D6RIA2;D6RB45;D6R9F3;D6RBS2;H0Y8S1,A8MXP9;P43243;D6REM6;D6R991,Matrin-3,MATR3,37646000000,39007000000,37414000000,25350000000,20937000000,24828000000,54398000000,46033000000,40268000000,38126000000,34633000000,28400000000,10950000000,965270000,1000200000,959340000,650000000,536850000,636610000,1394800000,1180300000,1032500000,977590000,888020000,728210000,33093000000,29810000000,30924000000,25034000000,22359000000,24577000000,28831000000,26564000000,23561000000,24585000000,23493000000,20634000000
A8MXQ1;P53801,A8MXQ1;P53801,Pituitary tumor-transforming gene 1 protein-interacting protein,PTTG1IP,166260000,136790000,113420000,4937400,39472000,41581000,191750000,92002000,128820000,54195000,40591000,55237000,266270000,41565000,34198000,28355000,1234400,9867900,10395000,47938000,23001000,32206000,13549000,10148000,13809000,0,0,0,0,0,0,0,0,0,0,0,41149000
J9JIE0;Q9NQ84;Q9NQ84-2;A8MXZ4,J9JIE0;Q9NQ84;Q9NQ84-2;A8MXZ4,G-protein coupled receptor family C group 5 member C,GPRC5C,174000000,168010000,201320000,25997000,24051000,20417000,185190000,67028000,107880000,70630000,14953000,29474000,155560000,24857000,24001000,28760000,3713900,3435900,2916700,26456000,9575500,15411000,10090000,2136100,4210500,119720000,86095000,116290000,51428000,37135000,63267000,66753000,55254000,80316000,45139000,0,65178000
K7EJW7;K7EIF2;H7C0Y7;C9JBG0;Q9BZG1-4;Q9BZG1-2;Q9BZG1;A8MYQ9;E7ES60;J3KQW8,K7EJW7;K7EIF2;H7C0Y7;C9JBG0;Q9BZG1-4;Q9BZG1-2;Q9BZG1;A8MYQ9;E7ES60;J3KQW8,Ras-related protein Rab-34,RAB34,99041000,107170000,79623000,38978000,28753000,44578000,73774000,109230000,87059000,57266000,36152000,29681000,197830000,24760000,26792000,19906000,9744500,7188300,11145000,18444000,27308000,21765000,14317000,9037900,7420300,63275000,69593000,59942000,47316000,40361000,51892000,45972000,50721000,55915000,44666000,37397000,0
A9Z1X7;E9PCT1;Q8IYB3-2;Q8IYB3;M0R088;B4DED5;M0R1E7;M0QXG5,A9Z1X7;E9PCT1;Q8IYB3-2;Q8IYB3;M0R088,Serine/arginine repetitive matrix protein 1,SRRM1,52628000000,52579000000,51194000000,46296000000,42564000000,73571000000,52057000000,56112000000,51565000000,53884000000,50608000000,44625000000,14945000000,1253000000,1251900000,1218900000,1102300000,1013400000,1751700000,1239400000,1336000000,1227700000,1283000000,1204900000,1062500000,46929000000,41936000000,43082000000,44413000000,49021000000,48575000000,30150000000,32605000000,32488000000,29945000000,32264000000,31923000000
B0QXZ8;B0QXZ9;Q9UGU5,B0QXZ8;B0QXZ9;Q9UGU5,HMG domain-containing protein 4,HMGXB4,41440000,65735000,105200000,78023000,70268000,37842000,37737000,184680000,62539000,58793000,0,98940000,140200000,6906700,10956000,17533000,13004000,11711000,6307000,6289600,30780000,10423000,9798800,0,16490000,46469000,64455000,63139000,57880000,62150000,48348000,0,0,59473000,57722000,0,55553000
Q9Y262-2;Q9Y262;B0QY89;H7C3A0;C9JHP4;C9K0Q7;B0QY90,Q9Y262-2;Q9Y262;B0QY89;H7C3A0;C9JHP4;C9K0Q7;B0QY90,Eukaryotic translation initiation factor 3 subunit L,EIF3L,0,3106700,0,0,0,0,0,0,0,0,3908000,6293500,458900,0,107130,0,0,0,0,0,0,0,0,134760,217020,0,0,0,0,0,0,0,0,0,0,2561800,0
Q9NQG6;B0QY95,Q9NQG6;B0QY95,Mitochondrial dynamic protein MID51,SMCR7L,1112900000,713280000,1113800000,812260000,661020000,855070000,567030000,1192700000,689990000,1300200000,849310000,784120000,560620000,58576000,37541000,58619000,42751000,34791000,45004000,29844000,62772000,36315000,68434000,44700000,41270000,835840000,724020000,751800000,1099300000,717160000,787360000,425500000,636570000,539590000,543380000,584420000,537850000
Q01844-6;B0QYK0;Q01844-3;Q01844;Q01844-5;Q01844-2;C9JGE3;H7BY36;F8WC90;Q01844-4,Q01844-6;B0QYK0;Q01844-3;Q01844;Q01844-5;Q01844-2;C9JGE3;H7BY36,RNA-binding protein EWS,EWSR1,629280000,886020000,912760000,870610000,792960000,900530000,1093100000,1408000000,1329800000,1204000000,1294800000,1793800000,771500000,37016000,52119000,53692000,51212000,46645000,52973000,64299000,82822000,78223000,70823000,76167000,105520000,490450000,691400000,658760000,930110000,1015200000,948720000,621310000,769190000,806690000,709500000,918550000,1224900000
E9PAP1;B0QZE6;E9PS59;Q15047-2;E9PQM8;E9PRF4;Q15047-3;Q15047,E9PAP1;B0QZE6;E9PS59;Q15047-2;E9PQM8;E9PRF4;Q15047-3;Q15047,Histone-lysine N-methyltransferase SETDB1,SETDB1,113580000,69121000,83799000,31034000,21797000,46836000,48414000,0,187430000,86203000,109680000,59085000,142830000,18930000,11520000,13966000,5172300,3632800,7806000,8069100,0,31239000,14367000,18280000,9847500,83710000,57937000,0,0,0,60319000,0,0,92421000,62745000,69531000,58026000
